product_id,handle,title,status,vendor,collections,variant_ids,skus
4417255800928,dc24v-ip67-30w-waterproof-led-driver-power-supply-transformer,IP67 DC24V 30W  LED Driver Power Supply Transformer~3349,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-24v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|best-offers-products|all-transformers|all_products|power-supply|under-25|all-products-1|best-deals|hot-picks|modern-home-lights|radiant-illumination|ninc-products|top-products|lights-parts|power-converter|for-shopify-performance-tracking|summer-bank-holiday|lighting-collection|ip67-waterproof-led-drivers|led-drivers-led-modules,31497525133408,24IP6730
4417255899232,dc24v-ip67-20w-waterproof-led-driver-power-supply-transformer,IP67 DC 24V 20W LED Driver Constant Voltage Power Supply Transformer~3348,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-24v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|all-transformers|all_products|power-supply|under-25|all-products-1|best-deals|glow-mode-on-1|luminous-deals|home-lighting-sale-uk|top-products|for-shopify-performance-tracking|premium-lighting|ip67-waterproof-led-drivers|best-sellers|industrial-lighting|energy-efficient-lighting-collection-modern|led-drivers-led-modules,31497525198944,24IP6720
4417255964768,dc12v-24w-ip20-small-universal-regulated-switching-power-supply,DC12V 24W IP20 Small Universal Regulated Switching Power Supply~3347,ACTIVE,LEDSone,power-supply|ip-20-transformers|all-products-1|shop-lighting|for-shopify-performance-tracking|ip20-led-power-supplies|ip20-led-power-supplies-1|industrial-lighting|led-drivers-led-modules,31497525461088,12MIP2024
4417255997536,waterproof-dc12v-ip67-12-5a-150w-led-driver-power-supply-transformer,DC 12V 150W IP67 12.5A Waterproof LED Driver LED Power Supply Transformer ~3346,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-12v-transformer|led-transformers|new-arrivals|new-collection|waterproof-transformers|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|best-selling-product-off|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|top-sell-2021|50-orders|top-selling-transformers|best-offers-products|all-transformers|best-products-24-s|led-modules-transformers|all_products|bsell-06|power-supply|under-25|all-products-1|most-popular-trending-products|top-picks|best-deals|value-light|hot-picks|modern-home-lights|home-lighting-collection|designer-lighting-collection|led-driver-transformer|ninc-products|top-products|lights-parts|power-converter|for-shopify-performance-tracking|ip67-waterproof-led-drivers|led-drivers-led-modules,31497525493856,12IP67150
4417256095840,waterproof-dc12v-ip67-200w-led-driver-power-supply-transformer,IP67 Waterproof DC 12V 200W LED Driver LED Power Supply Transformer ~3345,ACTIVE,LEDSone,led-modules-transformers|bsell-06|power-supply|all-products-1|most-popular-trending-products|for-shopify-performance-tracking|ip67-waterproof-led-drivers|led-drivers-led-modules,31497525592160,12IP67200
4417256259680,dc12v-30w-ip20-universal-regulated-switching-led-transformer,DC12V 30W 2.5Amp IP20 Constant Voltage LED Transformer~3344,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-12v-transformer|led-transformers|new-arrivals|new-collection|sale|catalog_transformers|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|best-offers-products|all-transformers|all_products|power-supply|ip-20-transformers|under-25|all-products-1|top-products|for-shopify-performance-tracking|summer-bank-holiday|ip20-led-power-supplies|ip20-led-power-supplies-1|industrial-vintage-lighting|led-drivers-led-modules,31497525723232,12IP2030
4417256325216,dc12v-40w-ip20-universal-regulated-switching-power-supply,IP20 DC12V 40W 3.3Amp Power Supply LED Transformer~3343,ACTIVE,LEDSone,power-supply|ip-20-transformers|all-products-1|modern-shine-lighting|modern-radiant-lighting|for-shopify-performance-tracking|ip20-led-power-supplies|ip20-led-power-supplies-1|electrical-lighting|led-drivers-led-modules,31497526149216,12IP2040
4417256390752,dc12v-60w-ip20-universal-regulated-switching-power-supply,AC 100/240V to DC12V 60W Regulated Switching Power Supply Driver ~3342,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-12v-transformer|led-transformers|new-arrivals|new-collection|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|dc-12v-driver|all-transformers|all_products|bsell-06|transfo|power-supply|ip-20-transformers|under-25|all-products-1|top-picks|best-deals|glow-mode-on-1|top-products|for-shopify-performance-tracking|premium-lighting|ip20-led-power-supplies|ip20-led-power-supplies-1|best-sellers|top-sellers-best-industrial-lighting|industrial-lighting|energy-efficient-lighting-collection-modern|led-drivers-led-modules,31497526181984,12IP2060
4417256456288,dc12v-80w-ip20-universal-regulated-switching-power-supply,AC 100/240V to DC12V 80W Regulated Switching Power Supply Driver   ~3341,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-12v-transformer|led-transformers|new-arrivals|new-collection|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|dc-12v-driver|top-selling-transformers|all-transformers|all_products|power-supply|ip-20-transformers|under-25|all-products-1|top-picks|best-deals|glow-mode-on-1|luminous-deals|home-lighting-sale-uk|top-products|for-shopify-performance-tracking|premium-lighting|ip20-led-power-supplies|ip20-led-power-supplies-1|best-sellers|industrial-lighting|energy-efficient-lighting-collection-modern|premium-lighting-products|led-drivers-led-modules|commercial-lighting-for-restaurants-uk,31497526280288,12IP2080
4417256554592,dc12v-100w-ip20-universal-regulated-switching-power-supply,LED 100W 8.3A Power Supply 240V AC to 12V DC IP20 Transformer~3340,ACTIVE,LEDSone,recommended-products-seguno|constant-voltage-transformer|dc-12v-transformer|led-transformers|new-arrivals|new-collection|sale|catalog_transformers|capture-15-offer-if-you-order-more-than-50-quantity|globofilter-best-selling-products-index|all-products|transformers|avada-email-marketing-best-sellers|top-deals|dc-12v-driver|top-selling-transformers|best-offers-products|all-transformers|weekly-promotion-testing-page|all_products|power-supply|ip-20-transformers|under-25|all-products-1|best-deals|modern-lighting-fixtures|stylish-lighting-fixtures|modern-home-lights|ninc-products|top-products|power-converter|for-shopify-performance-tracking|ip20-led-power-supplies|ip20-led-power-supplies-1|led-drivers-led-modules,31497526378592,12IP20100
