sku,stock
CL2RBM,1685
CL2RBM5PK,423
CL2RBMAPK,315
CL2RBP,395
CL2RBP5PK,79
CL2RBPAPK,20
CL2RBR,1204
CL2RBR5PK,240
CL2RBRAPK,72
CL2RBT,559
CL2RBT5PK,6
CL2RBTAPK,39
CL2RBU,559
CL2RBU5PK,111
CL2RBUAPK,13
CL2RCR,598
CL2RCR5PK,58
CL2RCRAPK,74
CL2RGD,359
CL2RGD5PK,113
CL2RGDAPK,12
CL2RGL,679
CL2RGL5PK,54
CL2RGLAPK,21
CL2RGR,137
CL2RGR5PK,27
CL2RGRAPK,21
CL2RGY,330
CL2RGY5PK,55
CL2RGYAPK,20
CL2RHE,1788
CL2RHE5PK,116
CL2RHEAPK,53
CL2RIV,631
CL2RIV5PK,126
CL2RIVAPK,19
CL2RLB,54
CL2RLB5PK,16
CL2RLBAPK,55
CL2RLG,502
CL2RLG5PK,100
CL2RLGAPK,23
CL2RMD,0
CL2RMU,0
CL2ROR,692
CL2ROR5PK,138
CL2RORAPK,27
CL2RPE,458
CL2RPE5PK,91
CL2RPEAPK,7
CL2RPU,633
CL2RPU5PK,7
CL2RPUAPK,38
CL2RRE,895
CL2RRE5PK,179
CL2RREAPK,21
CL2RRH,0
CL2RRO,0
CL2RRO5PK,10
CL2RROAPK,11
CL2RRS,499
CL2RRS5PK,14
CL2RRSAPK,32
CL2RRW,394
CL2RRW5PK,20
CL2RRWAPK,75
CL2RSI,0
CL2RSI5PK,19
CL2RSIAPK,39
CL2RTB,0
CL2RTB5PK,0
CL2RTBAPK,0
CL2RWH,539
CL2RWH5PK,89
CL2RWHAPK,53
CL2RWX,0
CL2RWX5PK,0
CL2RWXAPK,0
CL2RYE,547
CL2RYE5PK,109
CL2RYEAPK,54
CL2RYT,0
CL2TAG,692
CL2TAG+SWHBPB1OSWB,692
CL2TAG5PK,138
CL2TAGAPK,30
CL2TBD,433
CL2TBD+SWHBPB1OSWB,433
CL2TBD5PK,86
CL2TBDAPK,43
CL2TBK,964
CL2TBK3PK,321
CL2TBK5PK,86
CL2TBKAPK,37
CL2TBL,549
CL2TBL5PK,109
CL2TBLAPK,10
CL2TBM,1935
CL2TBM2PK,967
CL2TBM3PK,645
CL2TBM5PK,482
CL2TBMAPK,318
CL2TBP,438
CL2TBP5PK,87
CL2TBPAPK,43
CL2TBR,1266
CL2TBR5PK,265
CL2TBRAPK,192
CL2TBT,204
CL2TBT5PK,40
CL2TBTAPK,15
CL2TBU,851
CL2TBU5PK,26
CL2TBUAPK,17
CL2TBW,658
CL2TBW+SWHBPB1OSWB,0
CL2TBW5PK,131
CL2TBWAPK,26
CL2TCR,2248
CL2TCR5PK,110
CL2TCRAPK,104
CL2TGD,1823
CL2TGD2PK,911
CL2TGD5PK,496
CL2TGDAPK,177
CL2TGL,2848
CL2TGL+SWHBPB1OSWB,1000
CL2TGL5PK,146
CL2TGLAPK,104
CL2TGR,655
CL2TGR5PK,19
CL2TGRAPK,43
CL2TGY,684
CL2TGY5PK,8
CL2TGYAPK,37
CL2THE,1358
CL2THE3PK,452
CL2THE5PK,138
CL2THEAPK,125
CL2TIV,852
CL2TIV5PK,31
CL2TIVAPK,42
CL2TLB,666
CL2TLB5PK,71
CL2TLBAPK,66
CL2TLG,287
CL2TLG5PK,57
CL2TLGAPK,33
CL2TMS5PK,0
CL2TOR,474
CL2TOR+SWHBPB1OSWB,474
CL2TOR5PK,45
CL2TORAPK,47
CL2TPE,0
CL2TPE5PK,8
CL2TPEAPK,21
CL2TPU,432
CL2TPU5PK,86
CL2TPUAPK,16
CL2TRE,85
CL2TRE5PK,17
CL2TREAPK,8
CL2TRO,1150
CL2TRO5PK,82
CL2TROAPK,24
CL2TRS,385
CL2TRS5PK,77
CL2TRSAPK,27
