staff_name,department,store,shopify_product_id,shopify_product_gid,product_title,product_handle,product_url,product_status,variant_count,variant_ids,variant_gids,skus,collection_count,collection_ids,collection_handles,collection_titles,collection_urls,ownership_method,primary_source,source_updated_at,extracted_at,included_in_current_sales_scope,exclusion_reason
Kamsi,SEO,ledsone.co.uk,4417263272032,gid://shopify/Product/4417263272032,5m,,,ACTIVE,7,MISSING_FROM_DB,MISSING_FROM_DB,CL2RBK|CL2RBK2PK|CL2RBK3PK|CL2RBK4PK|CL2RBK5PK|CL2RBKAPK|CL2RBKSPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:42,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417263403104,gid://shopify/Product/4417263403104,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RBR|CL2RBR5PK|CL2RBRAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:34,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417263468640,gid://shopify/Product/4417263468640,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RYE|CL2RYE5PK|CL2RYEAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:39,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417263632480,gid://shopify/Product/4417263632480,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,LDMST64E274,3,159254839392|159254904928|159254806624,incandescent-bulbs|led-bulbs|vintage-bulbs,Incandescent Light Bulbs|LED Bulbs - Energy-Saving Lights|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/incandescent-bulbs|https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:27,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417264746592,gid://shopify/Product/4417264746592,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RBL|CL2RBL5PK|CL2RBLAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:37,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417264812128,gid://shopify/Product/4417264812128,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RGR|CL2RGR5PK|CL2RGRAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:38,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417264877664,gid://shopify/Product/4417264877664,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RBP|CL2RBP5PK|CL2RBPAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:39,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417265041504,gid://shopify/Product/4417265041504,5m,,,ACTIVE,3,MISSING_FROM_DB,MISSING_FROM_DB,CL2RPU|CL2RPU5PK|CL2RPUAPK,1,158037639264,2core-round,2 Core Round Cable,https://ledsone.co.uk/collections/2core-round,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:37,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417265467488,gid://shopify/Product/4417265467488,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,LDMC35E142,3,394336076026|159254904928|159254806624,dimmable-led-bulbs|led-bulbs|vintage-bulbs,Dimmable LED Bulbs|LED Bulbs - Energy-Saving Lights|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/dimmable-led-bulbs|https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
Kamsi,SEO,ledsone.co.uk,4417265631328,gid://shopify/Product/4417265631328,Default Title,,,ACTIVE,1,MISSING_FROM_DB,MISSING_FROM_DB,LDMC35E144,3,394336076026|159254904928|159254806624,dimmable-led-bulbs|led-bulbs|vintage-bulbs,Dimmable LED Bulbs|LED Bulbs - Energy-Saving Lights|Vintage LED Light Bulbs,https://ledsone.co.uk/collections/dimmable-led-bulbs|https://ledsone.co.uk/collections/led-bulbs|https://ledsone.co.uk/collections/vintage-bulbs,Shopify collection membership,ledsone-db-mcp,2026-07-14 00:16:29,2026-07-14T09:12:19.913Z,true,
