landing_page,sessions,active_users,engagement_rate,user_engagement_duration_sec,pages_per_session,purchase_revenue
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.core=B22&filter.p.m.custom.holder_=Ceramic+Holders&filter.p.m.custom.size=Dia%2F14cm&filter.p.m.custom.wattage=10W,1,1,1,28,1,0
/collections/catalog_others?filter.p.m.custom.bulb_shapes=Kegelvormige+schaduw&filter.p.m.custom.colour=Geborsteld+messing&filter.p.m.custom.core=LED+Bulb&filter.p.m.custom.core=Cluster+Pendant+Light&filter.p.m.custom.lamp_spares=Chain&filter.p.m.custom.materials=Wood&filter.p.m.custom.size=125mm,1,1,1,26,1,0
/collections/ceiling-lighting/cafe-restaurants,1,1,1,0,1,0
/collections/ceiling-lights-for-flash-lights?shop_sign_in=true,1,1,1,148,11,19.89
/collections/ceiling-pipe-lights/products/industrial-vintage-hemp-rope-metal-hanging-pendant-light-holder?variant=41159361953953,1,1,1,1,1,0
/collections/ceiling-rose-brackets/products/ceiling-rose-light-fixing-100mm-bracket-strap-brace-plate-with-accessories?variant=31931236286560,1,1,1,58,1,0
/collections/chandelier-type-ceiling-lights/products/industrial-metal-glass-ceiling-light-fixture-flush-mount-modern-lamp-shade?variant=55002973766018,1,1,1,5,2,0
/collections/clear-bag,1,1,1,32,2,0
/collections/conduit-accessories/products/20mm-galvanized-steel-conduit-lighting-box-fitting?variant=54875533377922,1,1,1,58,2,0
/collections/conduit-lighting/products/20mm-conduit-dome-cover-conduit-fitting-20mm-nominal-size?variant=53390663549314,1,1,1,199,6,0
/collections/conduit-lighting/products/20mm-conduit-metal-loop-in-box-terminal-for-electrical-connections,1,1,1,0,1,0
/collections/conduit-lighting/products/20mm-galvanized-steel-conduit-lighting-box-fitting?variant=54875533443458,1,1,1,211,6,0
/collections/conduit-lighting/products/nautical-fisherman-wire-cage-for-pendant-light-ceiling-light?variant=54971046003074&fbclid=fbclid,1,1,1,0,1,0
/collections/conduit-lighting/products/wall-and-ceiling-adjustable-e14-spotlight-with-ceiling-plate-for-conduit-lighting?variant=54873813123458,1,1,1,0,1,0
/collections/conduit-lighting?_su_rec=Reo3slgMGUiU7BYJhtQDQubpTNUnXdNYRgHxFYMp_gBTcpLqav3RG81hxdhPAKi9yKclxCQ_lKWFSuKLHLmmHvhHAYYEnJlaA20cmbPggdFkk0pzztcn2EXHi9mUimFkpgpX6f3MNF41YvnX7UgInGu6ELHFN-8ht784LY7IlpX0V_yuon9O1zieNsRx0IwCwWUKS1e9KuK44rFV2rSi4pfgREP8NaLuRbrA-7bK486aO9M6&_su_rec_id=bea02982-8fd4-4681-89e7-96c4c53b90d5-1782110933,1,1,1,0,1,0
/collections/conduit-lightings/products/conduit-light-shade-5570?variant=54849051328898,1,1,1,560,11,0
/collections/conduit-lightings/products/exposed-conduit-wall-light?variant=56318049485186,1,0,1,0,1,0
/collections/dc-12v-driver,1,1,1,10,1,0
/collections/dimmable-led-bulbs/b22-base-bulb,1,1,1,0,1,0
/collections/diy-lighting-new,1,1,1,14,1,0
/collections/diy-tools,1,1,1,10,1,0
/collections/e14-base-bulb,1,1,1,146,3,0
/collections/e14-base-bulb/products/led-corn-bulbs-e14-screw-30w-high-powered-energy-saving-light-bulb-4994?variant=44599111942394,1,1,1,0,1,0
/collections/easy-fit-shades/products/diamond-shaped-amber-glass-shade?variant=56359313277314,1,1,1,37,2,0
/collections/easy-fit-shades/products/flower-glass-shade?variant=56387390013826,1,1,1,0,3,0
/collections/easy-fit-shades/products/glass-small-shade?variant=56359267565954,1,1,1,272,6,0
/collections/electric-cable,1,1,1,13,6,0
/collections/flash-sale-up-to-70-off-1,1,0,1,0,1,0
/collections/foot-wear,1,1,1,15,2,0
