staff_name,store,shopify_product_id,product_title,product_handle
Dilaksi,ledsone.co.uk,8493909770490,Adjustable Wall Light Rustic Metal Ball Joint Sconce E27 ~5486,vintage-sconce-e27-industrial-edison-wall-loft-retro-lamp-light-holder-set
Dilaksi,ledsone.co.uk,8155725988090,2m Plugin Wall Light With Dimmer ~5258,plug-in-wall-light-indoor-wall-lamp-with-dimmer-switch-metal-e27-5258
Dilaksi,ledsone.co.uk,6894988951713,Nordic Plug In Wall Light Sconce With Shade And Dimmer Switch E27 ~1279,white-plug-in-wall-light-adjustable-wall-sconce
Dilaksi,ledsone.co.uk,6001950916769,Glass Lampshade Modern style wall lights  perfect for decorative on Wall ~1772,glass-lampshade-modern-style-wall-lights-perfect-for-decorative-on-wall
Dilaksi,ledsone.co.uk,14925001392514,Industrial Wall Light E27 Vintage Metal Sconce with Adjustable Arm~5770,modern-industrial-wall-light-vintage-retro-style-metal-sconce-wall-lamp-fixtures
Dilaksi,ledsone.co.uk,6022553632929,Industrial Wall Lights E27 Gooseneck Metal E27 ~1740,living-room-wall-light
Dilaksi,ledsone.co.uk,7694649098490,Swan Neck Wall Light Metal Shade Vintage Industrial E27 Fitting ~3918,industrial-vintage-modern-retro-swan-neck-metal-arm-e27-sconce-grey-wall-mount-light
Dilaksi,ledsone.co.uk,7606776889594,Industrial indoor Swan neck Wall light~3623,vintage-retro-industrial-chrome-wall-light-shade-modern-style-high-polished-wall-sconce
Dilaksi,ledsone.co.uk,4619926503520,Antique Wall Sconces Industrial Adjustable Wall Lamp  ~2246,vintage-style-sconce-lamp-fitting-kit-uk
Dilaksi,ledsone.co.uk,4417289257056,Industrial Cage Wall Light Vintage E27 Matt Black~2900,rustic-wall-sconces-wire-cage-black-industrial-wall-light-lampshade
Dilaksi,ledsone.co.uk,6956180275361,Vintage Industrial Adjustable Pulley Wheel Wall Mounted Light ~1222,industrial-wall-mounted-pulley-wheel-light-retro-metal-cylinder-shape-shade-indoor-light-fixture
Dilaksi,ledsone.co.uk,6001950490785,Industrial Ribbed Glass Wall Light Fits Standard UK Wall Lights (E27) ~1774,industrial-ribbed-glass-wall-lights-replacement-lampshades-for-wall-lights
Dilaksi,ledsone.co.uk,8629279588602,Rainproof Outdoor wall Ligh E27 Metal~5522,waterproof-wall-sconce
Dilaksi,ledsone.co.uk,6994098520225,Industrial Sconce Galvanized Adjustable Ceiling Light E27 Holder Fitting ~1190,galvanized-pipe-ceiling-light-fitting-metal-lamp-fixture
Dilaksi,ledsone.co.uk,6022553796769,LEDSone Modern Retro Copper colour Wall Light~1739,copper-indoor-industrial-wall-light-modern-wall-sconce-fittings-e27-socket
Dilaksi,ledsone.co.uk,6001951015073,Industrial glass wall light Amber Glass cone replacement Lampshade ~1771,industrial-glass-wall-light-amber-glass-cone-replacement-lampshade
Dilaksi,ledsone.co.uk,5360818946209,Black Wall Lights Modern Wall Lamp with Shade ~2117,vintage-retro-light-shade-ceiling-industrial-e27-wall-lights-sconce-lamp-fixture
Dilaksi,ledsone.co.uk,4484056842336,Smoky Glass Wall Lights Retro Wall Sconce UK ~2697,glass-wall-light-retro-loft-style-lighting-amber-glass-shade-vintage-industrial
Dilaksi,ledsone.co.uk,14874202472834,Conduit pipe Wall light Industrial Edison E27 Lamp Holder Fitting-5588,conduit-pipe-wall-light-vintage-industrial-indoor-e27-lamp-fitting-for-indoor-use-1
Dilaksi,ledsone.co.uk,7642578878714,Ledsone Vintage Industrial Dome Wall Light E27 Bedside Sconce~3697,industrial-vintage-retro-red-wall-sconces-e27-uk-holders
Dilaksi,ledsone.co.uk,6761777496225,Bedroom Wall Lights Stylish Wall Sconces for Indoor ~1446,short-arm-half-thin-holder-wall-light
Dilaksi,ledsone.co.uk,6754501558433,Wall Plug-in lights Vintage Wall Sconce Lamp Rose Gold ~1453,plug-in-wall-mounted-lights-4m-fabric-braided-cable-rose-gold
Dilaksi,ledsone.co.uk,6542267515041,Yellow Brass Industrial Wall Sconce Light Fixture E27 | 2 Pack ~1619,yellow-brass-metal-iron-wall-sconce-light-fixture-industrial-retro-lighting
Dilaksi,ledsone.co.uk,14928396386690,Industrial Swan Neck Plug In Wall Sconce Light with Switch~5830,vintage-plug-in-wall-light-2m-dimmer-lampshade
Dilaksi,ledsone.co.uk,14898962596226,Industrial Conduit Pipe Metal Cage Wall Light Kit Matte Black E27~ 5701,industrial-20mm-conduit-pipe-wall-lighting-kit-5701
Dilaksi,ledsone.co.uk,4568069505120,Vintage Industrial Wall Sconce | E27 Edison Lamp Holder Set~2338,gold-wall-mount-light
Dilaksi,ledsone.co.uk,7560179319034,Living Room Wall Lighting Modern Stylish  Sconces ~3451,red-modern-retro-style-glossy-wall-sconce-wall-light-lamp-fixture
Dilaksi,ledsone.co.uk,14925037011330,Modern Swan Neck Indoor Wall Light ~5772,modern-swan-neck-indoor-wall-light-5772
Dilaksi,ledsone.co.uk,14899845497218,Industrial 2-Way Conduit Pipe Wall Light E27 Fitting ~5702,industrial-conduit-pipe-2way-light-wall-lamp-kit
Dilaksi,ledsone.co.uk,6741957542049,Black Finish Simple Flat Wall Light ~1503,flat-wall-light-wall-lamp
Dilaksi,ledsone.co.uk,14937984106882,Industrial Satin Nickel Wall Light with Adjustable Shade - E27 Fitting ~5953,satin-nickel-wall-light-lamp-sconces-living-room-home-decor-1
Dilaksi,ledsone.co.uk,14928361324930,Dimmable Plug-in Wall Light | 2m Vintage Industrial Sconce ~5808,dimmable-plug-in-wall-light-2m-vintage-industrial-sconce
Dilaksi,ledsone.co.uk,7560180465914,Green Shade With Adjustable Curvy Swing Arm Wall Light Fixture Loft Style Industrial Wall Sconce~3465,green-shade-with-adjustable-curvy-swing-arm-wall-light-fixture-loft-style-industrial-wall-sconce
Dilaksi,ledsone.co.uk,5854047240353,Vintage Industrial Pulley Wheel Cage Wall Lamp~1912,rustic-red-loft-style-wall-lamp-antique-lift-retractable-pulley-wall-lighting
Dilaksi,ledsone.co.uk,15069278798210,Vintage Swan Neck Galvanized Outdoor Wall Light ~6225,galvanized-outdoor-wall-light-e27-vintage-barn-lamp
Dilaksi,ledsone.co.uk,8017508073722,Modern 12W LED Outdoor Wall Light | Black IP54 Up Down Garden & Patio Sconce ~4964,led-outdoor-wall-light
Dilaksi,ledsone.co.uk,8006295945466,Rope Wall Lights Rustic Vintage Wooden Wall Lamps ~4571,industrial-wood-hemp-rope-wall-light-metal-cage-scone
Dilaksi,ledsone.co.uk,4489762373728,Black Cage wall lights ~2670,modern-retro-vintage-industrial-wall-mounted-light-rustic-sconce-lamp-fixture-uk
Dilaksi,ledsone.co.uk,4417291649120,Modern Wall light for Bedroom Gooseneck Light~2870,lampshade-wall-light-wall-light-chandelier-shades
Dilaksi,ledsone.co.uk,15123994182018,Industrial Indoor Plug in Wall Light with Dimmer ~6332,industrial-indoor-plug-in-wall-light-with-dimmer
Dilaksi,ledsone.co.uk,14879662702978,Double Head Up and Down Wall Light GU10 Spotlight-5632,stylish-fixed-dual-head-gu10-wall-light-for-modern-interiors
Dilaksi,ledsone.co.uk,14874199589250,Industrial Long Arm Adjustable Cone Wall Light Extended 190mm Reach ~5587,industrial-wall-sconce-metal-shade-wall-light-fittings
Dilaksi,ledsone.co.uk,8630284812538,Industrial Wood Effect Bell Wall Light E27 ~5526,retro-fittings-industrial-wall-sconce-metal-rainproof-light-5526
Dilaksi,ledsone.co.uk,7560410005754,Wall Lamp for Kitchen ~3512,copy-of-wall-sconce-with-black-cone-shape-shade
Dilaksi,ledsone.co.uk,6981162860705,Black Modern Industrial Adjustable Swan Neck Arm Wall Light Fixtures~1204,vintage-industrial-wall-lights-fittings-indoor-sconce-black-metal-home-office-lamp-shade
Dilaksi,ledsone.co.uk,6928893870241,Black Modern Industrial Adjustable Arm Wall Light Fixtures~1237,modern-vintage-industrial-retro-wall-mounted-light-black-sconce-with-barrel-cage-lamp-fixture-light-uk
Dilaksi,ledsone.co.uk,4575543459936,Industrial Grey Colour Wall Lamp Retro Light Vintage Wall Sconce Lights~2313,industrial-grey-colour-wall-lamp-retro-light-vintage-wall-sconce-lights
Dilaksi,ledsone.co.uk,15260951642498,Wall Scone Metal 180 Degree Adjustable E27 ~6559,wall-scone
Dilaksi,ledsone.co.uk,15189300052354,Adjustable Wall Sconce / Ceiling Fixture ~6461,ceiling-light-fixture-1
Dilaksi,ledsone.co.uk,14928392388994,Industrial Wall Light Metal Sconce Wall Lamp Fixtures ~5827,industrial-wall-light-metal-sconce-wall-lamp-fixtures
Dilaksi,ledsone.co.uk,8114229444858,Wood Arm Hanging Wall Light Industrial Dome Shade E27 Fitting ~ 5166,wood-wall-lamp-light-5166
Dilaksi,ledsone.co.uk,8100986945786,Wood bedside Wall lamp ~ 5120,wall-mounted-bedside-lamps
Dilaksi,ledsone.co.uk,7998902763770,Modern 7W LED Wall Light Die-cast Aluminium Indoor Outdoor IP Rated~ 4496,modern-led-outdoor-wall-light-for-porch-garden-lighting-7w
Dilaksi,ledsone.co.uk,7041188397217,Brass Kitchen Wall Lighting~1173,cone-wall-light-for-kitchen
Dilaksi,ledsone.co.uk,5742321107105,Industrial Vintage Cage Wall Light E27 Glass Shade Twin Pack~2009,vintage-cage-wall-light
Dilaksi,ledsone.co.uk,4590559723616,Best Vintage Wall Light Fixtures for UK Interiors~2270,antique-adjastable-wall-sconce-lamp
Dilaksi,ledsone.co.uk,4505246793824,Marrakech Matte Black Lattice Wall Light ~2567,vintage-retro-industrial-rustic-sconce-wall-light-lamp-fitting-fixture-modern
Dilaksi,ledsone.co.uk,4488111128672,Vintage Industrial Swan Neck Wall Light Sconce E27 Iron~2677,modern-retro-vintage-industrial-wall-mounted-light-rustic-sconce-lamp-fixture
Dilaksi,ledsone.co.uk,4484057006176,Amber Glass Shade Modern Wall Light~2696,retro-style-lighting-amber-glass-shade-vintage-industrial-glass-loft-wall-light
Dilaksi,ledsone.co.uk,15311809315202,Pair Of Plug In 2m Wall Light For Living Room With Dimmer ~6761,pair-of-plug-in-wall-light
Dilaksi,ledsone.co.uk,15293724885378,Vintage Brass Wall Sconce Adjustable Clear Glass Wall Lamp ~6719,vintage-brass-wall-sconce-adjustable-clear-glass-wall-lamp-6719
Dilaksi,ledsone.co.uk,15267802055042,Wall Lights Metal Vintage Adjustable Swivel Living Room ~6784,adjustable-wall-sconce
Dilaksi,ledsone.co.uk,14951542096258,Vintage Wire Cage Wall Sconces Swan Neck Wall Light ~5971,modern-vintage-industrial-wall-sconce-light-cage-lamp-fitting-fixture-5971
Dilaksi,ledsone.co.uk,14932718879106,Adjustable Industrial Wall Lamp | Retro Metal Shade~5906,retro-industrial-metal-lampshade-wall-adjustable-light
Dilaksi,ledsone.co.uk,14927629844866,Plug In Wall Fitting 4M Table Bedside Lamps ~5802,plug-in-wall-fitting-4m-table-bedside-lamps
